code,company,industry,listing_date,market_cap,market_cap_as_at,registry,registry_raw,registry_address,registry_phone,registry_since
3PL,3P LEARNING LIMITED..,Consumer Services,2014-07-09,94152750,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"LIBERTY PLACE, LEVEL 41, 161 CASTLEREAGH ST, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,2026-08-07
49M,49 METALS LIMITED,Materials,2026-03-31,10690765,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"LEVEL 5, 191 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,2026-08-07
4DS,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment,2010-12-09,,2026-08-07,Automic,AUTOMIC REGISTRY SERVICES,"LEVEL 5, 191 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,2026-08-07
4DX,4DMEDICAL LIMITED,Health Care Equipment & Services,2020-08-07,2051771886,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"Tower 4, 727 Collins Street, DOCKLANDS, VIC, AUSTRALIA, 3008",1300 554 474,2026-08-07
5GG,PENTANET LIMITED,Telecommunication Services,2021-01-29,10396120,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"LEVEL 5, 191 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,2026-08-07
5GN,5G NETWORKS LIMITED.,Software & Services,1999-12-14,14525523,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"Suite 5, Level 12, 530 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",1300 288 664,2026-08-07
6KA,"6K ADDITIVE, INC.",Materials,2025-12-04,224504776,2026-08-31,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 17, 221 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,2026-08-31
88E,88 ENERGY LIMITED,Energy,2000-01-20,24622630,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 17, 221 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,2026-08-07
8CO,8COMMON LIMITED,Software & Services,2014-08-27,7843322,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,2026-08-07
8IH,8I HOLDINGS LTD,Financial Services,2014-12-17,6615056,2026-09-01,Boardroom,BOARDROOM PTY LIMITED,"LEVEL 8, 210 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,2026-08-07
A11,ATLANTIC LITHIUM LIMITED,Materials,2022-09-26,240450987,2026-08-07,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,2026-08-07
A1M,AIC MINES LIMITED,Materials,1993-11-04,646072055,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 17, 221 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,2026-08-07
A1N,ARN MEDIA LIMITED,Media & Entertainment,1992-05-07,82958349,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"LIBERTY PLACE, LEVEL 41, 161 CASTLEREAGH ST, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,2026-08-07
A2M,THE A2 MILK COMPANY LIMITED,"Food, Beverage & Tobacco",2015-03-31,4812449169,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"LIBERTY PLACE, LEVEL 41, 161 CASTLEREAGH ST, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,2026-08-07
A3D,AURORA LABS LIMITED,Capital Goods,2016-08-16,24086504,2026-09-01,Xcend,XCEND PTY LTD,"Level 2,, 477 Pitt Street, HAYMARKET, NSW, AUSTRALIA, 2000",61 2 8591 8509,2026-08-07
A4N,ALPHA HPA LIMITED,Materials,2007-10-22,805802497,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 4, 44 Martin Place, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,2026-08-07
A8G,AUSTRALASIAN METALS LIMITED,Materials,2021-05-13,5788973,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 17, 221 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,2026-08-07
AA2,ARIANA RESOURCES PLC,Materials,2025-09-10,84595641,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 17, 221 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,2026-08-07
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,"Food, Beverage & Tobacco",2001-08-10,801679774,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"Level 21, 10 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 554 474,2026-08-07
AAI,ALCOA CORPORATION,Materials,2024-07-24,18302120011,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,2026-08-07
AAJ,ARUMA RESOURCES LIMITED,Materials,2010-07-23,5025801,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,2026-08-07
AAL,ALFABS AUSTRALIA LIMITED,Capital Goods,2024-06-28,78925563,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,2026-08-07
AAM,AUMEGA METALS LTD,Materials,2017-03-08,53853770,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 17, 221 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,2026-08-07
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,"Food, Beverage & Tobacco",2004-01-07,19904600,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 17, 221 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,2026-08-07
AAR,ASTRAL RESOURCES NL,Materials,1986-11-13,370190984,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"LEVEL 5, 191 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,2026-08-07
AAU,ANTILLES GOLD LIMITED,Materials,1993-11-25,29511839,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,2026-08-07
ABB,AUSSIE BROADBAND LIMITED,Telecommunication Services,2020-10-16,1362636177,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,2026-08-07
ABE,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED,Financial Services,2021-12-06,4281518,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Computershare Investor Services Pty Ltd, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",1300 171 785,2026-08-07
ABG,ABACUS GROUP,Equity Real Estate Investment Trusts (REITs),2002-11-14,781950429,2026-09-01,Boardroom,BOARDROOM PTY LIMITED,"LEVEL 8, 210 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,2026-08-07
ABR,ALBRIGHT METALS LTD,Materials,2017-10-17,3107578,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"LEVEL 5, 191 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,2026-08-07
ABV,ADVANCED BRAKING TECHNOLOGY LTD,Automobiles & Components,2002-05-28,49746408,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"LEVEL 5, 191 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,2026-08-07
ABX,ABX GROUP LIMITED,Materials,2009-12-24,14246882,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,2026-08-07
ABY,ADORE BEAUTY GROUP LIMITED,Consumer Discretionary Distribution & Retail,2020-10-23,28657168,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"LIBERTY PLACE, LEVEL 41, 161 CASTLEREAGH ST, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,2026-08-07
ACE,ACUSENSUS LIMITED.,Software & Services,2023-01-12,213441295,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"LIBERTY PLACE, LEVEL 41, 161 CASTLEREAGH ST, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,2026-08-07
ACF,ACROW LIMITED,Capital Goods,2008-06-27,380251068,2026-08-07,Automic,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,2026-08-07
ACL,AUSTRALIAN CLINICAL LABS LIMITED,Health Care Equipment & Services,2021-05-14,518522778,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"LIBERTY PLACE, LEVEL 41, 161 CASTLEREAGH ST, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,2026-08-07
ACM,AUSTRALIAN CRITICAL MINERALS LIMITED,Materials,2023-07-03,3599554,2026-09-01,Xcend,XCEND PTY LTD,"Level 2,, 477 Pitt Street, HAYMARKET, NSW, AUSTRALIA, 2000",61 2 8591 8509,2026-08-07
ACP,AUDALIA RESOURCES LIMITED,Materials,2011-07-06,19296996,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,2026-08-07
ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED,Not Applic,2014-05-01,82035716,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,2026-08-07
ACR,ACRUX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2004-09-29,6193717,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"Tower 4, 727 Collins Street, DOCKLANDS, VIC, AUSTRALIA, 3008",1300 554 474,2026-08-07
ACS,ACCENT RESOURCES NL,Materials,2005-08-26,171338049,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,2026-08-07
ACU,ACUMENTIS GROUP LIMITED,Real Estate Management & Development,2003-12-05,26754606,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,2026-08-07
ACW,ACTINOGEN MEDICAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2007-10-16,160773893,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,2026-08-07
AD1,ADNEO LIMITED,Media & Entertainment,2016-06-23,10383450,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"LIBERTY PLACE, LEVEL 41, 161 CASTLEREAGH ST, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,2026-08-07
AD8,AUDINATE GROUP LIMITED,Technology Hardware & Equipment,2017-06-30,202388539,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"LIBERTY PLACE, LEVEL 41, 161 CASTLEREAGH ST, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,2026-08-07
ADC,ACDC METALS LTD,Materials,2023-01-17,5526634,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"Suite 5, Level 12, 530 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",1300 288 664,2026-08-07
ADD,ADAVALE RESOURCES LIMITED,Energy,1992-02-06,15366825,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 4, 44 Martin Place, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,2026-08-07
ADH,ADAIRS LIMITED,Consumer Discretionary Distribution & Retail,2015-06-17,250060478,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"LIBERTY PLACE, LEVEL 41, 161 CASTLEREAGH ST, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,2026-08-07
ADN,ANDROMEDA METALS LIMITED,Materials,1996-09-17,32365434,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 5, 115 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",08 8236 2300,2026-08-07
ADO,ANTEOTECH LTD,"Pharmaceuticals, Biotechnology & Life Sciences",2000-04-07,61935579,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"Level 21, 10 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 554 474,2026-08-07
ADR,ADHERIUM LIMITED,Health Care Equipment & Services,2015-08-26,5488767,2026-08-07,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,2026-08-07
ADS,ADSLOT LTD.,Software & Services,1987-12-17,5970090,2026-09-01,Boardroom,BOARDROOM PTY LIMITED,"LEVEL 8, 210 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,2026-08-07
ADX,ADX ENERGY LTD,Energy,1987-01-29,19379041,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 17, 221 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,2026-08-07
ADY,ADMIRALTY RESOURCES NL.,Materials,1983-12-01,,2026-08-07,Boardroom,BOARDROOM PTY LIMITED,"LEVEL 8, 210 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,2026-08-07
AEE,AURA ENERGY LIMITED,Energy,2006-05-30,117235788,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 17, 221 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,2026-08-07
AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED,Financial Services,2002-12-17,530448168,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"LIBERTY PLACE, LEVEL 41, 161 CASTLEREAGH ST, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,2026-08-07
AEG,ALAND EQUITY GROUP LIMITED,Financial Services,2022-05-03,63311762,2026-08-07,Boardroom,BOARDROOM PTY LIMITED,"LEVEL 8, 210 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,2026-08-07
AEI,AERIS ENVIRONMENTAL LTD,Commercial & Professional Services,2000-09-12,10356971,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 17, 221 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,2026-08-07
AEL,AMPLITUDE ENERGY LIMITED,Energy,2002-03-13,485806946,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 5, 115 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",08 8236 2300,2026-08-07
AEM,ADVANCED ENGINEERED MATERIALS LTD,Materials,2025-12-24,206326135,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,2026-08-07
AER,AEERIS LTD,Media & Entertainment,2015-04-01,4703931,2026-09-01,Boardroom,BOARDROOM PTY LIMITED,"LEVEL 8, 210 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,2026-08-07
AEU,ATOMIC EAGLE LTD,Materials,2004-11-22,206987714,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"LEVEL 5, 191 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,2026-08-07
AEV,AVENIRA LIMITED,Materials,2006-10-10,38010628,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"LEVEL 5, 191 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,2026-08-07
AEVN,AVENIRA LIMITED,Materials,2006-10-10,,2026-09-04,,,,,2026-09-04
AFA,ASF GROUP LIMITED,Financial Services,1985-05-29,47509955,2026-09-01,Boardroom,BOARDROOM PTY LIMITED,"LEVEL 8, 210 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,2026-08-07
AFG,AUSTRALIAN FINANCE GROUP LTD,Financial Services,2015-05-22,406097933,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"Level 12 QV1 Building, 250 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 554 474,2026-08-07
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,Not Applic,1962-06-30,8502632460,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"LIBERTY PLACE, LEVEL 41, 161 CASTLEREAGH ST, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,2026-08-07
AFL,AF LEGAL GROUP LTD,Commercial & Professional Services,2003-09-19,13910335,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 1, 200 Mary Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 552 270,2026-08-07
AFP,AFT PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2015-12-22,382792509,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES LIMITED,"LEVEL 2, 159 HURSTMERE ROAD, TAKAPUNA   AUCKLAND, NEW ZEALAND, 1039",(64) 9 488 8700,2026-08-07
AGC,AUSTRALIAN GOLD AND COPPER LTD,Materials,2021-01-20,43099989,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 17, 221 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,2026-08-07
AGD,AUSTRAL GOLD LIMITED,Materials,1997-04-18,90193997,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 4, 44 Martin Place, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,2026-08-07
AGE,ALLIGATOR ENERGY LIMITED,Energy,2011-02-03,219436904,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,2026-08-07
AGI,AINSWORTH GAME TECHNOLOGY LIMITED,Consumer Services,2001-12-17,372157292,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 4, 44 Martin Place, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,2026-08-07
AGL,AGL ENERGY LIMITED.,Utilities,2006-10-12,5772171259,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 4, 44 Martin Place, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,2026-08-07
AGN,ARGENICA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",2021-06-11,26333626,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,2026-08-07
AGR,AGUIA RESOURCES LIMITED,Materials,2008-02-13,38400332,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"LIBERTY PLACE, LEVEL 41, 161 CASTLEREAGH ST, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,2026-08-07
AGY,ARGOSY MINERALS LIMITED,Materials,1997-04-03,66368820,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"LEVEL 5, 191 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,2026-08-07
AHC,AUSTCO HEALTHCARE LIMITED,Health Care Equipment & Services,2004-09-24,95561577,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,2026-08-07
AHE,ADHERIS HEALTH LIMITED,Health Care Equipment & Services,2011-05-26,8931735,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,2026-08-07
AHF,AUSTRALIAN DAIRY NUTRITIONALS LIMITED,"Food, Beverage & Tobacco",2006-06-30,14961194,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"Level 21, 10 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 554 474,2026-08-07
AHK,ARK MINES LIMITED,Materials,2011-05-09,23871628,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 17, 221 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,2026-08-07
AHL,ADRAD HOLDINGS LIMITED,Automobiles & Components,2022-09-30,100431875,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 5, 115 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",08 8236 2300,2026-08-07
AHN,ATHENA RESOURCES LIMITED,Materials,2006-11-22,9579929,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 17, 221 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,2026-08-07
AI1,ADISYN LTD,Software & Services,2020-11-10,176607185,2026-09-01,Xcend,XCEND PTY LTD,"Level 2,, 477 Pitt Street, HAYMARKET, NSW, AUSTRALIA, 2000",61 2 8591 8509,2026-08-07
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,Transportation,1999-02-22,12290774446,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"LIBERTY PLACE, LEVEL 41, 161 CASTLEREAGH ST, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,2026-08-07
AIH,ADVANCED INNERGY HOLDINGS LIMITED,Capital Goods,2025-10-31,219618668,2026-09-01,Boardroom,BOARDROOM PTY LIMITED,"LEVEL 8, 210 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,2026-08-07
AIM,AI-MEDIA TECHNOLOGIES LIMITED,Software & Services,2020-09-15,55704846,2026-09-01,Computershare,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 4, 44 Martin Place, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,2026-08-07
AIQ,ALTERNATIVE INVESTMENT TRUST,Not Applic,2005-05-08,82511807,2026-09-01,MUFG Corporate Markets,MUFG CORPORATE MARKETS (AU) LIMITED,"LIBERTY PLACE, LEVEL 41, 161 CASTLEREAGH ST, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,2026-08-07
AIS,AERIS RESOURCES LIMITED,Materials,2011-02-02,748542419,2026-09-01,Automic,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,2026-08-26
